ID,date,campaign_type,region,customer_age_range,gender,sales,units_sold,clients_engaged,click_rate,conversion_rate,satisfaction_client (%)
Gf6952,11/9/2020,Social Networks,East,NA,Female,69162.51,77,1248,0.96,0.2,95.0
Ty5342,4/13/2021,Online Advertising,South,56+,Others,1295,44,12,0.47,0.25,90.2
Iw7182,9/16/2020,Online Advertising,NA,46-55,Male,30760.33,72,697,1.01,0.24,77.4
Oo9159,4/24/2018,NA,West,56+,Male,107775.18,60,349,1.48,0.2,38.2
It6851,11/12/2019,NA,West,56+,Female,12795.49,13,1162,1.45,0.14,45.8
Hu3942,2/2/2019,TV,NA,46-55,Others,148571.24,77,549,0.61,0.07,75.6
Jp8090,4/14/2022,NA,East,NA,NA,25069.13,77,1445,0.64,0.01,27.4
Ox9404,12/8/2022,Social Networks,West,18-25,Male,131328.22,46,683,1.15,0.26,48.6
Je6490,8/13/2020,Email,West,NA,NA,45419.73,37,2706,1.17,0.29,53.2
Pv1271,1/20/2018,Direct Advertising,NA,56+,Others,91881.32,57,2142,1.11,0.08,88.8
Kq7155,4/10/2019,Email,East,18-25,NA,68700.42,80,2964,0.06,0.25,33.6
Aj7639,6/13/2021,Email,East,46-55,NA,22135.93,15,340,0.57,0.2,78.2
Io1092,9/30/2020,TV,South,46-55,Male,64088.44,61,2771,0.81,0.14,20.8
Ps2052,4/17/2021,Social Networks,NA,46-55,Male,72714.14,58,643,0.21,0.05,97.4
Zq3687,5/6/2020,Direct Advertising,West,26-35,NA,19736.53,68,2786,0.72,0.09,74.6
Xk7882,9/26/2018,Social Networks,East,56+,NA,1371.67,58,2570,1.13,0.12,20.2
Tx4293,1/4/2021,Social Networks,NA,56+,Others,59658.94,72,2985,1.2,0.25,68.0
Xp5410,4/14/2020,Online Advertising,West,NA,Male,9060.03,98,926,1.44,0.27,71.2
Dl2696,1/20/2021,Social Networks,East,36-45,NA,32875.57,1,2066,0.54,0.02,36.6
Qk3487,12/22/2021,Direct Advertising,South,46-55,Male,104042.32,88,567,1.48,0.04,67.8
Oc2299,5/7/2019,Social Networks,West,36-45,Male,42129.26,46,595,0.53,0.26,97.6
Ag3427,7/14/2021,NA,East,NA,Female,58854.34,13,2778,0.52,0.06,78.4
Wj6558,11/8/2020,NA,NA,18-25,Female,66214.79,22,2603,0.42,0.16,20.8
Hs6618,10/31/2020,Social Networks,South,26-35,Female,24936.16,2,992,0.6,0.1,96.4
Qe6013,12/22/2020,Social Networks,NA,26-35,Male,119269.07,66,719,1.31,0.04,47.6
Xz5215,10/11/2021,Email,North,46-55,NA,95679.7,91,2108,1.34,0.16,24.6
Kg2048,2/10/2019,Direct Advertising,NA,46-55,Others,27811.88,13,2427,0.24,0.06,25.0
Bj7621,6/4/2018,TV,South,36-45,Female,87541.02,85,1202,0.15,0.27,45.6
Gf4709,9/15/2018,Direct Advertising,East,56+,Others,46714.33,90,77,1.13,0.29,53.0
Jb1151,6/29/2021,TV,North,18-25,Female,64353.22,88,2464,0.9,0.03,22.4
Te4727,1/25/2019,Email,NA,18-25,NA,71651.67,91,2187,1.42,0.04,56.6
Bj1580,11/2/2022,Email,East,26-35,Male,113987.44,4,332,0.63,0.21,72.6
Rm9849,8/16/2018,NA,South,NA,NA,138242.13,89,236,1.4,0.15,88.6
Vo2239,5/21/2019,Email,North,18-25,NA,3247.01,92,751,1.07,0.04,30.8
No9880,2/17/2018,Social Networks,NA,18-25,Female,100849.76,93,386,0.45,0.19,74.4
Kt8872,11/6/2021,Social Networks,North,NA,Others,47182.94,20,2825,0.16,0.28,43.8
Ul3839,11/26/2022,Online Advertising,West,18-25,Male,73358.09,1,2726,0.31,0.15,91.2
Ea9490,10/30/2019,NA,NA,26-35,Others,23637.77,47,238,1.08,0.03,54.0
Te9074,3/7/2020,Online Advertising,East,46-55,NA,69772.93,58,709,0.91,0.27,65.4
Cy3615,7/15/2018,Direct Advertising,West,26-35,NA,127371.21,58,888,0.31,0.08,43.0
No5298,11/12/2019,Direct Advertising,South,26-35,Others,104493.34,88,2749,0.46,0.06,57.0
Yo8875,1/24/2019,NA,West,26-35,NA,110122.47,63,2422,0.19,0.22,84.8
Tl2244,7/6/2022,NA,East,56+,NA,45888.6,18,406,0.64,0.28,96.4
Ao3382,1/23/2021,Online Advertising,East,36-45,NA,18044.18,56,1835,0.3,0.11,64.4
Nj6926,9/8/2018,Direct Advertising,North,NA,Male,23188.1,37,2159,1.07,0.28,44.6
By5291,7/1/2022,Online Advertising,West,56+,Male,100047.98,22,1705,0.47,0.23,68.2
Ul8507,10/13/2020,Online Advertising,NA,26-35,NA,24504.79,44,534,0.79,0.15,45.2
Bb8044,3/6/2021,Direct Advertising,West,NA,Female,57483.46,76,1697,0.86,0.27,94.4
Na6705,12/5/2018,Social Networks,North,36-45,NA,105240.45,57,2436,0.69,0.11,53.0
Lt1656,3/25/2021,Social Networks,West,46-55,Female,125869.14,78,1114,1.4,0.26,36.6
So5188,12/12/2022,Email,NA,36-45,Others,142517.15,81,1747,0.2,0.11,99.2
Qs9546,7/26/2019,Email,South,46-55,Others,110194.83,99,1230,0.66,0.03,33.6
Gr3498,10/5/2022,Email,East,NA,Male,133727.74,42,2893,0.98,0.12,30.2
Js6896,5/29/2021,Social Networks,NA,46-55,Others,47621.94,9,1213,0.08,0.09,23.2
Bs1434,1/17/2018,TV,North,26-35,Male,115521.02,76,857,1.16,0.07,77.6
Fg2409,1/8/2022,Direct Advertising,West,56+,Female,95716.58,53,1658,0.38,0.21,53.2
Df1235,7/7/2019,Social Networks,NA,18-25,NA,102369.95,78,1733,1.48,0.28,59.8
Ul6480,4/10/2022,NA,North,NA,Male,119944.64,30,2483,1.29,0.14,24.4
Ac8425,8/27/2018,Email,East,NA,Female,17036.29,66,1129,1.23,0.2,56.6
Qu6564,11/28/2018,Direct Advertising,West,36-45,NA,142800.21,82,66,0.83,0.18,24.4
Zz6894,5/25/2019,NA,NA,56+,NA,25944.39,93,510,0.35,0.23,62.2
Iy1388,12/16/2022,Online Advertising,South,26-35,Male,58931.49,71,2784,0.59,0.21,92.2
Fh6068,12/11/2020,Social Networks,South,18-25,NA,15787.56,71,1559,1.05,0.2,48.6
Ed9017,12/12/2019,NA,North,18-25,Female,41413.78,74,452,0.32,0.17,75.0
Jc4363,9/24/2018,NA,NA,56+,Female,853.6,78,18,0.53,0.3,52.0
Jy6972,8/6/2022,Email,South,NA,NA,11751.41,96,2226,1.34,0.16,37.2
Cu4217,7/20/2018,Direct Advertising,East,NA,NA,7333.66,98,2218,1.07,0.04,68.0
Pg7360,3/10/2022,Social Networks,West,56+,NA,102199.9,54,87,0.18,0.11,91.0
Jo7924,10/2/2020,Email,West,18-25,Female,77267.72,1,704,0.69,0.04,64.2
Di1932,9/29/2021,Email,East,36-45,Others,127597.52,75,277,1.27,0.19,26.6
Kb5390,9/24/2021,Online Advertising,North,46-55,Female,45373.3,82,2455,0.44,0.15,88.6
Gl1349,10/13/2019,TV,West,18-25,Others,5032.62,57,2933,0.06,0.24,33.4
Lv1284,6/29/2019,Direct Advertising,North,NA,Others,149236.66,37,1423,0.81,0.02,52.2
Xk9551,9/9/2019,Online Advertising,South,36-45,Male,133348.52,69,1997,0.3,0.09,76.4
Dh7752,12/20/2022,Social Networks,North,46-55,Others,9702.38,67,1875,0.21,0.14,84.4
Xp5856,6/25/2021,Online Advertising,West,36-45,Female,59274.68,31,2960,0.27,0.14,78.6
Gj8994,1/17/2018,Email,East,56+,Male,60249.06,26,1822,0.45,0.01,92.6
Sy1509,8/1/2022,Email,East,36-45,Others,141007.31,52,843,1.43,0.27,53.4
Mj8832,1/19/2022,Direct Advertising,East,26-35,Male,137170.99,69,2986,0.12,0.16,71.8
Bi2574,4/3/2022,Online Advertising,East,36-45,NA,7412.73,5,1512,0.91,0.13,87.0
Kj3567,4/12/2018,TV,North,46-55,Female,122362.95,90,2533,1.49,0.1,74.2
Em4933,3/12/2018,NA,South,36-45,Female,103753.06,97,2902,0.13,0.1,41.8
Oa3743,10/14/2021,Social Networks,North,56+,Others,39481.44,92,1536,1.07,0.05,94.8
Sb3754,11/20/2021,Online Advertising,East,56+,Male,45199.1,63,130,1.29,0.04,35.8
Ni4682,2/21/2022,Social Networks,NA,18-25,Male,58581.81,13,2319,1.36,0.16,44.2
Ad4682,3/21/2018,Direct Advertising,East,NA,Female,134548.24,83,1144,0.78,0.3,23.6
Cs1237,10/5/2019,Direct Advertising,East,56+,Female,23885.83,81,1226,1.06,0.11,89.6
Ed1874,6/4/2021,Direct Advertising,NA,26-35,Female,51957.2,82,643,0.72,0.11,60.4
Mz4393,6/17/2019,Direct Advertising,East,56+,NA,91919.56,27,1803,0.67,0.07,52.8
Vr7809,11/9/2022,Online Advertising,NA,46-55,Female,5917.75,60,357,0.57,0.23,34.4
Hn7168,4/9/2020,NA,NA,26-35,NA,79170.97,59,2922,0.64,0.02,84.2
Vj7293,11/5/2019,Online Advertising,South,36-45,NA,121018.48,64,1456,0.24,0.2,71.4
Lc5170,11/17/2020,Online Advertising,West,56+,Male,11269.32,63,2840,0.6,0.03,37.6
Vi5561,2/24/2019,Social Networks,North,46-55,NA,57049.48,74,2638,1.19,0.14,58.8
Qn7402,6/3/2018,Direct Advertising,North,36-45,Female,7255.73,34,2140,0.63,0.18,47.8
Pk7679,7/23/2022,NA,West,26-35,Female,76149.58,81,1326,1.13,0.08,58.8
Bb2128,3/31/2018,TV,North,18-25,NA,90782.87,46,2558,0.17,0.23,26.0
Nl1063,7/24/2021,NA,South,18-25,NA,143414.58,81,117,0.22,0.26,22.0
Pi7435,1/11/2019,Social Networks,NA,56+,NA,8743.51,75,624,0.53,0.03,79.2
Uj3192,9/25/2019,Direct Advertising,NA,18-25,NA,88609.53,22,2409,0.25,0.24,54.8
En6370,8/26/2022,Online Advertising,East,18-25,NA,55195.6,40,2105,0.76,0.25,23.0
Se7585,8/29/2019,NA,South,26-35,Others,51253.31,24,2926,0.52,0.21,46.6
Cr6317,1/12/2018,Social Networks,East,18-25,Male,119887.92,82,1889,1.32,0.26,58.0
Cy4863,11/20/2022,Social Networks,NA,36-45,Others,6272.96,20,1274,0.99,0.3,89.2
Pn5001,5/7/2019,TV,East,56+,Female,58604.45,84,15,0.45,0.29,36.8
Va8647,3/10/2021,Direct Advertising,NA,46-55,Others,110307.88,76,1710,1.12,0.17,90.4
Kv9871,8/17/2020,TV,North,46-55,Male,143965.76,31,1672,0.89,0.11,83.4
Nl9210,6/29/2019,Social Networks,North,26-35,Male,91830.91,27,1910,1.38,0.06,81.2
Am4714,6/1/2018,Social Networks,East,46-55,Others,79730.3,70,2843,0.08,0.26,50.2
Qj9840,1/9/2018,Email,West,26-35,Female,85555.14,100,2495,0.09,0.23,36.4
Ku4039,8/22/2022,Direct Advertising,West,56+,Others,36449.21,35,214,0.45,0.26,45.6
Fu2518,12/18/2018,TV,South,18-25,Male,132959.01,47,2261,0.94,0.13,71.4
Av2362,12/7/2019,Online Advertising,North,36-45,NA,65248.74,23,2716,1.5,0.26,51.4
Lj3954,1/19/2019,Email,South,36-45,Others,77493.65,29,2006,0.18,0.14,51.6
Iq4245,10/14/2018,Social Networks,South,18-25,Male,110848.22,93,2929,0.91,0.21,34.6
Ja7008,3/1/2018,Email,South,26-35,Female,120569.3,92,2155,0.07,0.01,43.2
Zu5857,6/15/2022,Email,East,26-35,Male,77846.05,63,111,0.24,0.17,38.6
Vg9935,6/23/2022,Email,North,NA,NA,1003.35,11,87,0.31,0.23,58.0
Lg9298,1/9/2019,Social Networks,South,18-25,Others,127795.03,98,647,0.87,0.18,69.2
Na8310,1/7/2020,Direct Advertising,NA,36-45,Female,141673.56,1,2145,0.68,0.13,31.8
Lc4060,2/11/2019,NA,South,36-45,NA,8324.97,27,2419,0.26,0.07,25.6
Vv3926,5/10/2021,NA,South,NA,Female,85911.2,25,2055,0.82,0.12,63.8
Ov4209,9/3/2022,Direct Advertising,NA,56+,Female,132452.72,5,1281,0.91,0.07,58.4
Ql8616,10/21/2019,Email,NA,46-55,Male,82103.85,29,575,1.5,0.2,26.4
Qe9559,11/10/2022,Email,North,56+,NA,148107.4,34,1713,0.33,0.03,62.8
Cf5503,4/5/2021,NA,South,36-45,Male,122056.97,14,1229,0.85,0.22,39.8
Ji5591,8/31/2019,Direct Advertising,South,46-55,NA,44521.11,43,878,0.59,0.01,98.8
Kt4936,11/11/2022,Social Networks,North,56+,Male,17184.36,30,1236,0.24,0.09,79.8
Ig1321,8/22/2021,TV,North,NA,Others,702.57,33,1900,0.28,0.13,20.2
He6467,3/8/2022,Direct Advertising,North,36-45,NA,124344.13,68,1722,1.37,0.25,21.8
Bv6790,7/3/2020,Email,NA,NA,Female,46198.32,79,982,1.43,0.03,38.0
Lg9686,5/12/2018,Social Networks,South,56+,Female,93162.18,32,1331,0.07,0.27,81.4
Ym7241,4/17/2021,Social Networks,East,56+,Female,94895.6,31,2749,1.49,0.16,35.4
Hx7810,6/12/2018,Social Networks,South,NA,Female,47928.11,31,536,0.22,0.25,99.8
Ij6595,8/6/2021,Social Networks,North,56+,Female,75690.83,90,2653,1.44,0.07,88.4
Ua9200,7/13/2020,TV,West,36-45,NA,22355.7,94,1016,0.25,0.02,32.2
Jn9234,6/1/2022,Email,NA,36-45,Male,37461.44,54,698,1.35,0.04,68.4
Dw1098,4/29/2019,Email,East,46-55,Others,103048.37,82,2244,1.21,0.23,85.6
Ub9561,1/31/2022,Social Networks,South,36-45,NA,125865.23,36,665,1.13,0.17,90.4
Zv6333,8/26/2021,Online Advertising,East,46-55,Female,109944.44,66,2260,1.45,0.02,86.2
Tv5800,8/18/2018,Social Networks,South,36-45,Male,31308.3,45,2028,0.1,0.03,90.8
Nq8603,11/19/2018,Email,South,56+,Others,70545.71,17,1292,1.46,0.29,91.0
Uo2228,8/1/2018,TV,North,NA,Others,50883.42,21,2624,0.24,0.06,96.0
Gu8940,11/5/2018,Email,East,NA,Male,46277.4,58,2323,0.52,0.06,77.2
Uh7487,12/18/2021,Email,NA,NA,NA,47017.38,37,1186,0.54,0.14,63.6
Er7295,7/27/2022,TV,South,56+,Male,101329.4,75,1771,0.64,0.22,43.6
Cp5574,7/8/2021,Direct Advertising,South,36-45,Others,76892.72,87,1628,0.41,0.18,61.6
Gd6684,4/12/2019,Direct Advertising,South,NA,NA,3628.16,74,127,0.42,0.01,38.0
Jh3028,5/7/2019,Email,North,NA,Female,42216.48,20,390,0.18,0.14,68.4
Fh1854,5/26/2022,NA,East,56+,NA,84487.04,54,27,1.35,0.27,98.6
Ob3098,10/21/2021,NA,South,56+,Others,62807.34,82,2278,0.48,0.06,96.0
Jr3027,5/25/2018,Email,West,46-55,Male,85681.88,15,2656,1.22,0.27,40.4
Sy4738,2/9/2022,Email,North,56+,Female,30803.55,48,1156,0.14,0.17,98.4
Oo7205,9/13/2018,Direct Advertising,East,56+,Female,127421.96,8,410,0.21,0.18,89.6
Fi1206,4/8/2018,Email,East,18-25,Female,63794.39,74,1680,0.56,0.28,95.4
Sf6560,4/2/2022,Online Advertising,North,NA,NA,11459.95,51,2654,0.4,0.11,92.4
It2155,4/27/2021,TV,NA,NA,Female,72699.57,60,429,0.59,0.16,26.4
Ly2192,7/14/2021,Email,West,56+,Others,100373.88,6,2416,0.36,0.21,49.6
Ki6798,7/17/2021,Social Networks,NA,18-25,Others,122889.2,21,1001,0.57,0.3,88.0
Zt3333,10/15/2021,Social Networks,North,NA,Male,10865.94,71,507,1.14,0.14,90.4
Qt3777,6/10/2018,Direct Advertising,South,18-25,Others,138436.03,83,2047,1.44,0.23,91.6
Zl9163,11/5/2019,Online Advertising,South,18-25,Male,15052.16,98,2950,0.79,0.14,86.8
It5931,5/18/2018,Direct Advertising,North,NA,Male,109954.37,10,473,0.08,0.28,90.0
Ze1449,10/28/2022,Social Networks,South,36-45,Female,27435.1,64,1097,0.38,0.04,87.6
Aj4383,6/11/2020,Social Networks,NA,56+,Others,127587.7,74,131,0.61,0.03,46.0
Lh3892,4/23/2022,NA,NA,NA,NA,60944.26,96,1503,0.38,0.08,96.6
Bf6218,5/13/2021,NA,NA,18-25,Male,82313.21,11,2450,0.5,0.08,62.8
Vk5355,2/19/2020,Email,North,36-45,Others,92818.24,24,2804,0.89,0.16,96.2
Iv9653,8/7/2021,Online Advertising,NA,56+,Male,92417.29,82,2543,0.72,0.06,81.6
Pz5061,2/1/2021,Online Advertising,South,36-45,Male,54377.6,77,1912,0.99,0.18,22.4
Fr2891,4/25/2021,Social Networks,East,36-45,Male,83193.41,71,1160,0.79,0.28,27.8
Bj2001,11/22/2020,NA,NA,56+,Male,103845.09,3,1900,0.22,0.02,41.0
Xo5286,8/26/2018,TV,South,36-45,Female,70934.84,29,1663,0.22,0.13,29.8
Sn9771,7/27/2020,NA,West,18-25,Male,137014.01,79,1440,0.99,0.3,28.4
Ed6351,4/28/2018,Social Networks,West,56+,Female,49758.51,25,2974,0.45,0.24,33.0
Ft8246,2/18/2020,Social Networks,South,46-55,NA,522.44,28,1060,1.01,0.2,27.0
Im5208,6/5/2022,NA,West,36-45,Female,15431.68,77,787,0.59,0.24,85.4
Rp8507,2/11/2020,TV,South,46-55,Others,63616.3,81,952,0.98,0.23,54.6
Ms8912,8/11/2019,Direct Advertising,East,26-35,Male,54471.03,80,1423,1.08,0.25,95.8
Hf5438,10/30/2018,Social Networks,South,56+,Others,119543.55,15,2144,0.06,0.11,71.6
At5067,9/16/2022,Online Advertising,North,56+,Male,34968.91,64,1432,0.3,0.12,78.0
Nz6060,1/14/2018,Online Advertising,East,36-45,Others,94951.97,40,757,0.6,0.29,85.2
Fu8960,5/6/2022,TV,NA,46-55,NA,26111.31,59,2325,0.76,0.08,24.8
Al9217,8/18/2022,Social Networks,North,NA,Male,60078.57,73,1740,1.19,0.05,68.0
Wn1234,8/10/2019,Email,North,18-25,NA,61800.76,8,1078,0.71,0.19,65.6
Th6558,3/9/2019,NA,East,56+,NA,5934.86,3,2443,0.14,0.21,52.4
Lu7999,2/17/2019,Online Advertising,NA,36-45,Male,79155.52,97,2984,1.35,0.23,26.4
Tl4840,2/26/2019,Direct Advertising,West,46-55,NA,133541.96,63,2782,0.3,0.15,39.6
If6861,8/24/2018,Email,NA,46-55,Male,76039.24,12,1248,0.78,0.15,67.4
Fn3664,7/22/2021,NA,NA,26-35,Others,1464.5,86,2409,0.26,0.17,62.2
Dv5542,7/24/2021,TV,South,56+,Others,133033.84,87,1379,0.83,0.03,37.8
Pu6985,2/18/2018,TV,East,36-45,Others,30394.9,1,2342,1.43,0.15,50.6
Yq4828,7/9/2021,TV,South,26-35,Female,101091.29,83,1787,0.6,0.08,66.8
Er7182,9/10/2021,Direct Advertising,North,NA,Others,142476.52,50,1303,1.13,0.25,49.2
As9907,11/12/2022,NA,West,26-35,Others,32402.88,40,726,0.85,0.29,57.2
Ce4553,8/4/2018,NA,East,NA,Others,1588.68,48,1084,0.95,0.05,93.2
Jy7719,9/11/2018,TV,East,46-55,Male,60221.54,44,49,0.11,0.18,99.8
Pk8973,5/24/2018,Direct Advertising,NA,56+,NA,62254.48,14,1117,1.13,0.12,69.6
Jh8127,4/2/2019,TV,West,46-55,NA,1492.58,94,365,1.26,0.19,77.8
Yu5587,10/31/2022,Direct Advertising,NA,46-55,Male,60170.71,42,2144,1.3,0.08,55.6
Wc7749,4/25/2020,Social Networks,South,56+,Female,37083.31,23,2866,0.37,0.02,63.2
Ha3319,10/1/2019,Social Networks,West,56+,Male,97076.76,7,719,0.57,0.17,25.4
Hm2122,9/22/2022,TV,South,NA,Female,39837.83,78,2622,0.56,0.03,27.2
Fe7389,12/28/2020,Online Advertising,NA,18-25,NA,140182.12,50,1308,0.62,0.16,23.0
Qp5235,9/29/2020,Email,North,18-25,Others,25544.49,8,1832,0.37,0.16,34.2
Xv3322,2/17/2021,Online Advertising,NA,NA,Female,26310.42,68,235,0.43,0.16,20.4
Lk7829,11/19/2020,NA,South,18-25,Others,137217.21,58,1031,0.86,0.15,40.6
Sy1484,7/29/2020,NA,NA,NA,Male,2464.58,54,1823,0.1,0.21,38.6
Hp6468,9/20/2019,Online Advertising,West,56+,Male,108197.84,51,950,0.15,0.13,49.0
Zf9292,5/23/2022,Direct Advertising,South,NA,Male,64373.2,53,1112,0.9,0.13,20.6
Tg6458,8/3/2019,NA,West,NA,Male,101988.7,90,2126,1.01,0.09,80.4
Nv5221,9/29/2020,NA,North,NA,Female,123753.08,99,382,0.2,0.22,23.2
As7857,1/24/2021,Email,NA,26-35,NA,133056.22,36,2545,1.32,0.02,94.2
Zd3049,6/16/2022,Social Networks,East,18-25,Female,66536.34,70,1996,1.17,0.04,61.8
Fb2736,2/1/2022,Online Advertising,NA,18-25,Male,95966.24,13,671,0.25,0.15,60.0
Qq2524,11/23/2019,TV,North,36-45,NA,56869.6,22,1439,0.08,0.03,20.2
Rw9556,3/11/2018,TV,South,18-25,Male,66648.34,82,468,0.22,0.02,69.4
Kh3516,3/20/2020,Online Advertising,West,56+,Others,49443.75,1,440,1.49,0.07,99.6
Ei7298,10/3/2018,TV,East,26-35,NA,76530.79,88,1583,1.45,0.26,55.8
Px8132,11/22/2022,Social Networks,North,36-45,Male,53069.78,3,2801,1.42,0.25,72.2
Aw9789,1/28/2022,Online Advertising,North,36-45,Others,55082.47,67,281,0.29,0.28,97.0
Oh4520,3/16/2018,Direct Advertising,East,26-35,Female,121221.93,4,1069,0.25,0.03,52.6
Lq5860,10/23/2018,Direct Advertising,West,56+,Female,126322.72,7,1947,0.42,0.25,55.2
Be7890,2/9/2019,Online Advertising,NA,56+,Female,14369.78,28,1042,0.6,0.06,74.2
Pt2463,1/11/2020,Online Advertising,NA,26-35,NA,35717.24,34,708,0.05,0.03,78.2
Fh5110,10/26/2022,Email,North,46-55,Female,8147.36,60,291,0.88,0.15,72.2
Yf5618,12/17/2020,Email,East,NA,NA,55708.92,35,516,1.36,0.12,97.6
Cv1379,3/24/2018,Direct Advertising,North,26-35,Male,94190.4,79,2750,1.48,0.01,43.8
Ii5250,10/26/2018,Online Advertising,West,26-35,Male,79003.2,3,1697,0.42,0.02,75.2
Jp5699,11/28/2022,Email,West,26-35,NA,130883.16,23,664,1.43,0.05,84.4
Pm9695,8/25/2022,Direct Advertising,South,26-35,Male,57532.83,44,2281,0.97,0.28,43.8
Fl6338,1/4/2021,Social Networks,West,56+,Others,61852.48,62,2062,0.1,0.22,22.8
Je8212,8/2/2019,Email,South,26-35,Others,61930.88,27,822,0.8,0.03,25.0
By4234,3/26/2020,NA,NA,36-45,Female,147691.01,96,1803,0.45,0.28,24.6
Mp7612,6/16/2019,TV,East,36-45,NA,6622.64,88,1126,1.12,0.19,99.4
Ia4143,9/13/2018,TV,NA,26-35,Male,33604.39,2,2408,1.26,0.17,88.2
Hh8396,8/25/2019,Social Networks,West,18-25,Others,119227.91,73,334,1.46,0.21,85.8
Fo1080,3/1/2021,TV,South,46-55,Male,16974.52,22,2038,0.91,0.1,53.8
Wo3476,10/24/2020,Social Networks,West,NA,Others,70029.91,18,1855,0.74,0.25,78.4
Uz3782,10/20/2022,Social Networks,North,18-25,Others,71810.07,12,2387,0.4,0.16,38.6
Jc4845,8/18/2020,NA,North,18-25,NA,96186.67,56,1110,0.7,0.26,23.8
Fa4547,8/5/2018,Direct Advertising,NA,18-25,Female,13874.64,24,2843,0.72,0.25,26.0
Yg1536,2/4/2020,TV,NA,56+,NA,13726.27,20,770,0.46,0.07,29.0
Rn1745,1/9/2021,Online Advertising,North,26-35,NA,98965.53,61,1678,1.07,0.13,30.2
Ld6846,12/26/2019,NA,NA,36-45,Female,127788.94,96,1318,0.12,0.07,87.4
Mm9864,7/2/2019,Online Advertising,North,46-55,Male,94862.65,25,933,1.06,0.27,89.4
Af5693,10/19/2019,NA,East,46-55,Male,19987.94,56,954,0.2,0.02,91.4
Mj6293,12/17/2021,TV,East,NA,NA,81754.56,93,28,0.09,0.08,76.4
Th1113,9/6/2018,TV,West,26-35,NA,41200.62,12,1797,1.02,0.29,53.6
Uj4009,12/18/2020,TV,East,NA,Female,115988.58,36,1009,0.35,0.05,96.6
Mw5023,8/4/2019,NA,North,36-45,Male,105037.84,71,235,0.15,0.08,33.2
Gy4725,10/23/2022,TV,South,NA,Male,85014.18,9,1733,0.68,0.3,92.8
Jd8738,3/6/2021,TV,South,NA,Male,80405.17,66,310,1.45,0.28,33.4
Nf1656,3/9/2020,TV,North,18-25,Female,110874.74,22,1164,0.08,0.16,71.8
To3357,5/6/2021,Direct Advertising,North,56+,Others,16723.75,55,2194,1.09,0.09,81.0
Ji8354,10/24/2018,Online Advertising,South,18-25,Male,4377.28,11,615,0.65,0.02,85.8
Ry3671,2/19/2019,Direct Advertising,East,56+,NA,40913.76,41,2433,0.85,0.25,84.8
Rg7479,4/20/2022,TV,NA,46-55,Male,91427.93,45,1759,1.06,0.21,50.2
Oo5887,3/14/2018,TV,NA,NA,Others,63886.55,92,2500,1.38,0.24,55.0
Ce5097,6/28/2021,Email,West,NA,Male,30108.44,84,500,1.16,0.07,22.6
Sk9319,8/17/2019,TV,South,26-35,Female,14703.94,46,2410,0.37,0.09,48.8
Tm2247,7/1/2020,Email,North,26-35,Others,113897.1,69,2007,1.45,0.24,59.6
Co5699,9/18/2021,Online Advertising,East,18-25,Others,58119.63,69,473,1.08,0.27,74.0
Cn8650,10/19/2021,Direct Advertising,North,46-55,Male,50328.42,67,1523,1.27,0.26,57.2
Ib3460,6/24/2018,Email,North,46-55,Male,54453.41,19,551,0.21,0.04,78.8
Kp7625,6/17/2022,Direct Advertising,South,36-45,Female,112741.62,14,263,0.7,0.09,21.0
Du3246,8/22/2018,NA,East,56+,Female,8999.41,73,1103,1.23,0.12,94.0
Wf6025,7/19/2021,Social Networks,North,18-25,Male,97333.01,60,2391,0.48,0.13,21.4
Bp2464,9/19/2020,TV,South,18-25,Male,110253.66,28,2638,0.12,0.2,61.6
Qr5546,3/12/2021,Email,East,46-55,Female,136701.36,18,715,1.22,0.23,64.0
Qn5677,10/2/2021,Social Networks,NA,NA,Others,88278.52,72,423,0.87,0.24,98.4
Bt5925,5/30/2018,Online Advertising,West,36-45,Male,85578.08,48,24,0.87,0.15,90.6
Ph8979,3/5/2021,NA,North,56+,Female,65892.57,19,539,0.8,0.25,40.8
Ab2251,9/6/2021,Email,East,NA,NA,135696.6,12,114,1.1,0.22,65.2
Ih4618,8/2/2018,Online Advertising,West,36-45,NA,149717.2,70,36,0.16,0.24,71.2
Gj5219,5/6/2021,Online Advertising,West,56+,NA,35956.37,5,2647,0.19,0.22,35.6
No6918,2/12/2020,Email,North,26-35,Others,50627.04,86,949,0.93,0.09,31.4
Og1719,4/19/2019,NA,South,46-55,Others,83937.27,5,845,0.93,0.15,32.8
Hf6908,3/25/2022,Email,West,18-25,NA,148655.8,83,605,0.61,0.02,39.8
Rv9656,12/28/2022,Direct Advertising,NA,18-25,Male,128226.12,76,1542,1.45,0.23,42.0
Ou2786,3/8/2018,NA,West,56+,NA,109676.37,17,152,1.22,0.26,82.6
Qh6463,3/1/2019,TV,South,36-45,NA,59239.04,99,2015,1.04,0.12,55.4
Jr8864,11/21/2020,Social Networks,NA,18-25,Others,121780.9,100,2134,0.38,0.06,63.0
Kr2289,11/5/2018,Direct Advertising,South,46-55,Male,105940.9,57,1783,0.66,0.04,35.8
Jp6024,1/23/2018,TV,NA,46-55,Female,58895.23,95,944,1.34,0.23,59.2
Zi5902,6/6/2022,Social Networks,North,26-35,NA,93694.91,87,917,0.94,0.11,61.2
Dg8324,11/10/2018,Social Networks,NA,46-55,Others,101669.56,90,930,1.28,0.2,71.6
Ix3036,12/1/2021,Social Networks,South,18-25,Others,56176.2,58,2105,0.06,0.24,40.0
